name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Heavenly Creatures,Creature Songs EP,Wolf Alice,5nCgeFC0siCnVrbTHx3iPL,2014-05-26,38,0.767,0.276,0.386,-11.343,1
Baby Ain’t Made of China,My Love Is Cool (Deluxe Edition),Wolf Alice,4p6bLKG9fjvMPYmeRTn3I0,2016-02-05,38,0.552,0.449,0.206,-7.971,1
Bobby - Live,Blue Weekend (Tour Deluxe),Wolf Alice,6h8Ewydt9uxj0ThD7cscaE,2021-10-29,42,0.457,0.623,0.567,-4.057,0
Boys - triple j Like A Version,Boys (triple j Like A Version),Wolf Alice,2VsyBIQdUrMqghofolbucW,2018-02-16,42,0.574,0.667,0.67,-10.129,0
Fluffy,My Love Is Cool (Deluxe Edition),Wolf Alice,4zrvNKTG5tsgPW2qquqhmU,2016-02-05,38,0.566,0.829,0.652,-6.801,0
Ghoster,Ghostbusters (Original Motion Picture Soundtrack) [2016],Various Artists,4Sjyg511QHmPIrDDa4pA86,2016-07-15,38,0.516,0.893,0.536,-2.7,0
Be Sweet,Jubilee,Japanese Breakfast,0dpyzcT3RMNNSd2xKBf35I,2021-06-04,69,0.653,0.877,0.62,-5.82,0
Boyish,Soft Sounds from Another Planet,Japanese Breakfast,4ETQzZdnRJwaoFIPQy3GJv,2017-07-14,60,0.229,0.457,0.362,-7.457,1
Everybody Wants to Love You,Psychopomp,Japanese Breakfast,3YufkKqsssZ8wt9T24ULSj,2016-04-01,57,0.47,0.877,0.681,-3.32,0
Head Over Heels,Head Over Heels,Japanese Breakfast,1QPWV0EWKa7GiKO7F7zcVs,2019-06-05,48,0.383,0.15,0.0559,-11.945,1
Paprika,Jubilee,Japanese Breakfast,3zyqphgXvgHe436IMKeey3,2021-06-04,63,0.506,0.712,0.416,-5.495,0
Road Head,Soft Sounds from Another Planet,Japanese Breakfast,5rQEom98vgByjAZ4kIw2kL,2017-07-14,60,0.54,0.672,0.161,-8.733,1
"Glider - from ""Sable"" Original Video Game Soundtrack",Sable (Original Video Game Soundtrack),Japanese Breakfast,6fyMExLM9mmtXAQKCnTaZG,2021-09-24,50,0.37,0.408,0.0724,-9.24,1
Nobody Sees Me Like You Do,Nobody Sees Me Like You Do,Japanese Breakfast,3vGsonmcc2Y7x8BZYKnjhi,2022-01-26,50,0.604,0.12,0.245,-12.964,1
"Kokomo, IN",Jubilee,Japanese Breakfast,0O4sIQ728ugLlwBVaxF8UM,2021-06-04,60,0.415,0.665,0.721,-6.374,0
Diving Woman,Soft Sounds from Another Planet,Japanese Breakfast,6V7c8Dd40BKFqWIYS5zTXx,2017-07-14,53,0.462,0.746,0.255,-6.722,1
Heft,Psychopomp,Japanese Breakfast,79rWlGMt177FqsSJ9c0chR,2016-04-01,43,0.547,0.809,0.245,-6.178,1
2042,"Polyvinyl 4-Track Singles Series, Vol. 3",Japanese Breakfast,3daFmiuYUOE6IWIn8Jd51c,2017-11-01,44,0.496,0.84,0.748,-4.245,0
